EMPID,FIRSTNAME,LASTNAME,STARTDATE,EXITDATE,TITLE,SUPERVISOR,ADEMAIL,BUSINESSUNIT,EMPLOYEESTATUS,EMPLOYEETYPE,PAYZONE,EMPLOYEECLASSIFICATIONTYPE,TERMINATIONTYPE,TERMINATIONDESCRIPTION,DEPARTMENTTYPE,DIVISION,DOB,STATE,JOBFUNCTIONDESCRIPTION,GENDERCODE,LOCATIONCODE,RACEDESC,MARITALDESC,PERFORMANCE_SCORE,CURRENT_EMPLOYEE_RATING
2643,Katelyn,Brown,0022-04-15,0022-10-10,Area Sales Manager,Deborah Stephens,katelyn.brown@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Voluntary,Likely debate ever college strategy way can.,Sales,Wireline Construction,24-12-1966,TN,Clerical,Male,60277,Black,Divorced,Fully Meets,5
3179,Amya,Armstrong,0020-12-23,0021-03-17,Production Technician II,Victoria Thomas,amya.armstrong@bilearner.com,TNS,Active,Full-Time,Zone C,Full-Time,Voluntary,Assume none mother note poor indeed.,Production,Field Operations,22-12-1941,MA,Lineman,Male,96822,Black,Divorced,Fully Meets,2
2104,Andre,Fields,0020-09-14,,Production Technician I,Ana Trujillo,andre.fields@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Production,Field Operations,19-08-1949,MA,Laborer,Female,73771,Hispanic,Widowed,Exceeds,2
2492,Natalya,Norman,0019-07-20,,Software Engineer,Catherine Peterson,natalya.norman@bilearner.com,CCDR,Active,Full-Time,Zone C,Temporary,Unk,,Software Engineering,General - Con,04-12-1957,MA,Laborer,Male,34504,White,Married,Fully Meets,2
3750,Micaela,Conner,0020-02-17,,Production Technician I,Sheryl Curtis,micaela.conner@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Unk,,Production,Engineers,16-02-1955,MA,Engineer,Male,49299,Black,Single,Fully Meets,1
3876,Alana,Castro,0021-10-24,,Principal Data Architect,Deborah Bell,alana.castro@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,IT/IS,General - Con,30-05-1954,MA,Lineman,Female,70578,Hispanic,Single,PIP,3
2394,Harold,David,0022-04-25,0023-06-23,Production Manager,Patty Boyd,harold.david@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Involuntary,Else condition director woman unit.,Production,Field Operations,17-09-1980,MA,Laborer,Male,57850,White,Single,Fully Meets,2
2434,Liam,Blevins,0023-01-14,0023-05-07,Production Manager,Melissa Rice,liam.blevins@bilearner.com,TNS,Active,Part-Time,Zone A,Full-Time,Involuntary,Dog dark piece where ask low away.,Production,General - Con,22-09-1991,MA,Foreman,Male,34702,Asian,Single,Fully Meets,5
3728,Aydan,Robbins,0021-12-23,,Production Technician I,Tamara Grant,aydan.robbins@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production,Splicing,07-02-1967,MA,Laborer,Male,39843,Hispanic,Divorced,Fully Meets,5
2759,Rick,Stoica,0018-08-26,,Production Technician I,Mrs. Megan Booker,rick.stoica@bilearner.com,PYZ,Active,Full-Time,Zone B,Full-Time,Unk,,Production,Aerial,04-05-1989,MA,Lineman,Male,2301,White,Divorced,Fully Meets,2
2760,Adil,Sahoo,0020-12-06,0022-08-26,Production Technician II,Alexis Shaw,adil.sahoo@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Voluntary,Keep position nature most anything eat blue.,Production,Fielders,20-07-1969,MA,Engineer,Male,2062,Other,Single,Fully Meets,2
2956,Aarav,Espinoza,0019-11-11,,Production Technician I,David Ali,aarav.espinoza@bilearner.com,WBL,Active,Part-Time,Zone C,Full-Time,Unk,,Production,Engineers,15-12-1999,MA,Project Manager,Male,51029,Hispanic,Widowed,Fully Meets,2
2585,Mike,Guilianno,0021-06-04,,Area Sales Manager,Martha Stone,mike.guilianno@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,21-05-2001,TN,Laborer,Male,37129,Asian,Divorced,Fully Meets,2
3984,Christine,Skinner,0022-02-10,0022-06-08,Database Administrator,Thomas Ramirez,christine.skinner@bilearner.com,EW,Active,Contract,Zone B,Full-Time,Retirement,If require particularly civil.,IT/IS,Wireline Construction,23-07-1963,TX,Laborer,Female,67986,Hispanic,Single,Fully Meets,3
2619,Carlo,Giles,0020-06-17,0022-02-08,Area Sales Manager,Alexandria Brown,carlo.giles@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Involuntary,Use stay among place dinner.,Sales,Field Operations,06-04-1946,MA,Laborer,Male,36412,Hispanic,Divorced,Fully Meets,5
2221,Cedric,Sawyer,0019-05-31,,IT Support,Megan Walker,cedric.sawyer@bilearner.com,MSC,Active,Contract,Zone C,Part-Time,Unk,,IT/IS,Field Operations,14-11-1993,MA,Laborer,Female,49637,Hispanic,Single,Exceeds,4
